"","number.of.adults","number.of.children","number.of.weekend.nights","number.of.week.nights","type.of.meal","car.parking.space","room.type","lead.time","market.segment.type","repeated","P.C","P.not.C","average.price","special.requests","booking.status","reservation_month","reservation_day","reservation_weekday"
"39",2,0,2,3,"Not Selected",0,"Room_Type 1",247,"Online",0,0,0,63.75,0,1,"11","19","Monday"
"40",2,0,2,1,"Meal Plan 1",0,"Room_Type 4",186,"Online",0,0,0,121.8,1,1,"07","30","Monday"
"41",2,0,0,4,"Meal Plan 1",0,"Room_Type 1",64,"Online",0,0,0,93.6,2,0,"11","01","Thursday"
"42",2,0,0,2,"Meal Plan 1",0,"Room_Type 1",35,"Online",0,0,0,102,1,0,"06","21","Thursday"
"43",3,0,2,1,"Meal Plan 1",0,"Room_Type 1",96,"Online",0,0,0,121.8,1,0,"04","10","Tuesday"
"44",2,0,1,1,"Not Selected",0,"Room_Type 1",41,"Online",0,0,0,98.1,1,1,"06","27","Wednesday"
"45",2,0,0,4,"Meal Plan 1",0,"Room_Type 4",55,"Offline",0,0,0,60,1,0,"11","18","Saturday"
"46",2,0,0,3,"Meal Plan 1",0,"Room_Type 1",146,"Offline",0,0,0,75,0,0,"12","29","Friday"
"47",1,0,0,2,"Meal Plan 1",0,"Room_Type 1",32,"Offline",0,0,0,73,0,0,"11","20","Monday"
"48",2,0,0,1,"Meal Plan 2",0,"Room_Type 1",55,"Offline",0,0,0,104,0,0,"04","06","Friday"
"49",2,0,0,4,"Not Selected",0,"Room_Type 1",57,"Online",0,0,0,79.2,1,0,"11","01","Thursday"
"50",1,0,1,3,"Meal Plan 1",0,"Room_Type 4",7,"Online",0,0,0,125.8,2,0,"12","29","Saturday"
"51",1,0,2,5,"Not Selected",0,"Room_Type 1",124,"Online",0,0,0,87.95,0,0,"05","30","Wednesday"
"52",2,0,2,2,"Meal Plan 2",0,"Room_Type 1",169,"Online",0,0,0,106,0,1,"04","22","Sunday"
"53",1,0,1,2,"Meal Plan 1",0,"Room_Type 1",6,"Online",0,0,0,136.67,1,0,"05","16","Wednesday"
"54",2,0,0,4,"Meal Plan 1",0,"Room_Type 4",51,"Offline",0,0,0,60,1,0,"11","11","Saturday"
"55",2,0,1,0,"Not Selected",0,"Room_Type 1",13,"Online",0,0,0,89,2,0,"06","13","Wednesday"
"56",2,0,1,3,"Meal Plan 1",0,"Room_Type 1",100,"Online",0,0,0,136,1,0,"05","19","Saturday"
"57",2,0,0,1,"Not Selected",0,"Room_Type 1",139,"Online",0,0,0,94.5,1,0,"07","28","Saturday"
"58",2,0,1,2,"Meal Plan 1",0,"Room_Type 1",117,"Online",0,0,0,93.6,2,0,"12","26","Wednesday"
"59",2,0,1,4,"Meal Plan 1",0,"Room_Type 4",39,"Online",0,0,0,120.6,0,1,"04","20","Friday"
"60",2,0,0,3,"Meal Plan 1",0,"Room_Type 4",86,"Online",0,0,0,99.3,1,0,"04","06","Friday"
"61",2,2,0,1,"Meal Plan 1",1,"Room_Type 6",2,"Online",0,0,0,258,1,0,"09","02","Sunday"
"62",1,0,0,3,"Meal Plan 1",0,"Room_Type 4",19,"Online",0,0,0,120.12,2,0,"05","03","Thursday"
"63",1,0,0,2,"Meal Plan 1",0,"Room_Type 1",192,"Offline",0,0,0,95,0,0,"06","24","Sunday"
"64",1,0,0,1,"Meal Plan 1",0,"Room_Type 1",2,"Complementary",0,0,0,0,1,0,"09","10","Sunday"
"65",2,0,2,1,"Meal Plan 1",0,"Room_Type 1",86,"Offline",0,0,0,75,0,0,"12","18","Tuesday"
"66",2,0,0,3,"Meal Plan 1",0,"Room_Type 4",30,"Online",0,0,0,157.5,2,0,"10","05","Friday"
"67",2,0,0,2,"Meal Plan 1",0,"Room_Type 4",179,"Online",0,0,0,97.7,1,0,"06","03","Sunday"
"68",2,0,0,2,"Meal Plan 1",0,"Room_Type 4",26,"Online",0,0,0,142,0,1,"04","15","Sunday"
"69",2,0,0,1,"Meal Plan 1",0,"Room_Type 1",55,"Offline",0,0,0,80,0,0,"04","06","Friday"
"70",2,0,1,2,"Meal Plan 1",0,"Room_Type 1",74,"Online",0,0,0,85.5,1,0,"04","25","Wednesday"
"71",2,0,0,3,"Meal Plan 1",0,"Room_Type 1",143,"Offline",0,0,0,100,0,0,"08","25","Saturday"
"72",2,0,1,0,"Not Selected",0,"Room_Type 1",34,"Online",0,0,0,88,2,0,"11","14","Wednesday"
"73",2,0,1,1,"Meal Plan 1",1,"Room_Type 1",30,"Online",0,0,0,122.85,1,0,"08","29","Wednesday"
"74",2,0,0,2,"Meal Plan 1",0,"Room_Type 1",177,"Online",0,0,0,100,0,1,"06","03","Sunday"
"75",2,0,2,3,"Meal Plan 1",0,"Room_Type 4",34,"Offline",0,0,0,75,0,0,"10","25","Wednesday"
"76",2,0,1,4,"Meal Plan 1",0,"Room_Type 4",18,"Online",0,0,0,116.8,1,0,"03","09","Friday"
"77",3,0,1,1,"Meal Plan 1",0,"Room_Type 4",267,"Online",0,0,0,121.5,0,0,"12","31","Monday"
"78",2,0,1,2,"Meal Plan 1",0,"Room_Type 1",64,"Online",0,0,0,111.9,1,0,"06","27","Wednesday"
"79",3,0,2,5,"Meal Plan 1",0,"Room_Type 4",155,"Online",0,0,0,121.55,2,1,"06","28","Thursday"
"80",2,0,0,5,"Meal Plan 1",0,"Room_Type 1",46,"Offline",0,0,0,75,1,0,"03","29","Thursday"
"81",2,2,0,2,"Meal Plan 1",0,"Room_Type 6",83,"Online",0,0,0,159.3,0,1,"04","01","Sunday"
"82",2,0,0,5,"Meal Plan 1",0,"Room_Type 4",128,"Online",0,0,0,132.3,0,1,"10","11","Thursday"
"83",2,0,2,0,"Not Selected",0,"Room_Type 1",20,"Online",0,0,0,88,2,0,"12","25","Tuesday"
"84",2,0,1,4,"Meal Plan 1",0,"Room_Type 4",40,"Online",0,0,0,98.82,0,0,"03","14","Wednesday"
"85",2,0,1,2,"Meal Plan 1",1,"Room_Type 4",46,"Online",0,0,0,98.3,1,0,"03","04","Sunday"
"86",1,0,1,0,"Meal Plan 1",0,"Room_Type 1",1,"Online",0,0,0,150,2,0,"10","17","Wednesday"
"87",2,0,2,3,"Not Selected",0,"Room_Type 1",196,"Online",0,0,0,96.05,1,0,"09","04","Tuesday"
"88",1,0,0,2,"Meal Plan 1",0,"Room_Type 1",188,"Online",0,0,0,130,0,1,"06","15","Friday"
"89",2,0,0,1,"Not Selected",0,"Room_Type 1",17,"Online",1,0,5,95,0,0,"12","10","Monday"
"90",2,0,0,3,"Meal Plan 1",0,"Room_Type 5",146,"Offline",0,0,0,113.56,0,0,"08","09","Thursday"
"91",2,0,1,3,"Not Selected",0,"Room_Type 1",110,"Online",0,0,0,101.58,1,0,"05","05","Saturday"
"92",2,0,1,2,"Meal Plan 1",1,"Room_Type 1",68,"Online",0,0,0,105.3,0,0,"03","18","Sunday"
"93",2,0,2,1,"Meal Plan 1",0,"Room_Type 4",73,"Online",0,0,0,115.8,1,0,"04","09","Monday"
"94",2,0,0,1,"Meal Plan 1",0,"Room_Type 4",92,"Online",0,0,0,149.4,1,0,"05","19","Saturday"
"95",2,0,2,5,"Meal Plan 1",0,"Room_Type 1",171,"Online",0,0,0,111.59,0,1,"08","30","Thursday"
"96",2,1,0,2,"Meal Plan 1",1,"Room_Type 1",134,"Online",0,0,0,130.5,2,0,"08","04","Saturday"
"97",2,0,0,2,"Meal Plan 2",0,"Room_Type 1",320,"Online",0,0,0,115,1,1,"08","18","Saturday"
"98",2,0,0,4,"Meal Plan 1",0,"Room_Type 1",118,"Online",0,0,0,90.95,1,0,"04","13","Friday"
"99",2,0,0,3,"Meal Plan 1",0,"Room_Type 1",30,"Online",0,0,0,76.08,1,0,"11","17","Saturday"
"100",2,2,1,3,"Meal Plan 1",0,"Room_Type 6",30,"Online",0,0,0,156.9,0,0,"12","22","Saturday"
"101",2,0,1,0,"Not Selected",0,"Room_Type 1",189,"Online",0,0,0,85.5,2,0,"10","23","Tuesday"
"102",3,0,1,2,"Meal Plan 1",0,"Room_Type 4",55,"Online",0,0,0,159.3,2,0,"05","13","Sunday"
"103",1,0,0,4,"Meal Plan 1",0,"Room_Type 1",55,"Online",0,0,0,74.8,2,0,"12","13","Thursday"
"104",2,0,0,1,"Meal Plan 1",0,"Room_Type 1",16,"Online",0,0,0,95,1,0,"10","31","Tuesday"
"105",2,0,0,3,"Meal Plan 1",0,"Room_Type 1",24,"Online",0,0,0,107,1,0,"10","08","Sunday"
"106",2,0,0,3,"Meal Plan 1",0,"Room_Type 1",8,"Offline",0,0,0,64,0,0,"02","16","Friday"
"107",2,0,1,4,"Meal Plan 1",1,"Room_Type 1",10,"Online",0,0,0,82.95,0,0,"11","02","Thursday"
"108",2,0,1,3,"Meal Plan 1",0,"Room_Type 4",0,"Online",0,0,0,155,1,0,"09","21","Thursday"
"109",2,0,0,1,"Not Selected",0,"Room_Type 1",12,"Online",0,0,0,101.68,1,0,"06","30","Saturday"
"110",2,0,2,1,"Meal Plan 1",0,"Room_Type 1",32,"Online",0,0,0,94.5,3,0,"09","05","Tuesday"
"111",2,0,0,2,"Meal Plan 1",0,"Room_Type 1",182,"Online",0,0,0,117.9,2,1,"09","30","Sunday"
"112",2,0,1,0,"Not Selected",0,"Room_Type 1",1,"Online",0,0,0,127,1,0,"06","27","Wednesday"
"113",2,0,0,3,"Not Selected",0,"Room_Type 1",122,"Online",0,0,0,116.1,2,0,"06","16","Saturday"
"114",2,0,2,3,"Meal Plan 1",0,"Room_Type 1",40,"Online",0,0,0,117.9,1,0,"06","30","Saturday"
"115",2,2,2,2,"Meal Plan 1",0,"Room_Type 2",116,"Online",0,0,0,184.24,1,1,"06","26","Tuesday"
"116",3,0,2,2,"Meal Plan 1",1,"Room_Type 4",123,"Online",0,0,0,155.7,1,0,"08","13","Monday"
"117",3,0,2,5,"Meal Plan 1",0,"Room_Type 4",40,"Online",0,0,0,135.76,0,1,"04","22","Sunday"
"118",2,1,2,5,"Meal Plan 1",0,"Room_Type 1",105,"Online",0,0,0,102.83,3,0,"11","12","Monday"
"119",2,0,0,1,"Meal Plan 1",0,"Room_Type 1",443,"Online",0,0,0,65,0,1,"04","29","Sunday"
"120",2,0,2,3,"Meal Plan 1",0,"Room_Type 1",2,"Online",0,0,0,103,1,0,"11","14","Tuesday"
"121",2,0,0,3,"Meal Plan 1",0,"Room_Type 1",317,"Online",0,0,0,106.2,1,1,"09","01","Saturday"
"122",2,0,0,2,"Meal Plan 2",0,"Room_Type 1",286,"Offline",0,0,0,58.5,0,0,"09","16","Sunday"
"123",2,0,1,3,"Meal Plan 1",0,"Room_Type 1",68,"Online",0,0,0,73.95,0,1,"03","10","Saturday"
"124",2,0,0,3,"Meal Plan 1",0,"Room_Type 1",148,"Online",0,0,0,105.3,0,0,"05","05","Saturday"
"125",3,0,2,0,"Meal Plan 1",0,"Room_Type 4",68,"Online",0,0,0,133.2,2,0,"04","24","Tuesday"
"126",2,0,0,2,"Meal Plan 1",0,"Room_Type 1",30,"Offline",0,0,0,85.5,0,0,"03","30","Friday"
"127",1,0,0,1,"Meal Plan 1",0,"Room_Type 1",14,"Online",0,0,0,112,1,1,"11","03","Saturday"
"128",2,2,0,2,"Meal Plan 1",0,"Room_Type 6",110,"Online",0,0,0,190.8,0,1,"10","14","Sunday"
"129",1,0,2,3,"Meal Plan 1",0,"Room_Type 1",117,"Offline",0,0,0,110,0,0,"06","05","Tuesday"
"130",2,0,1,4,"Meal Plan 1",0,"Room_Type 4",85,"Online",0,0,0,91.48,1,0,"07","13","Friday"
"131",2,0,0,2,"Not Selected",0,"Room_Type 1",1,"Online",0,0,0,135,2,0,"10","20","Saturday"
"132",1,0,1,2,"Meal Plan 1",0,"Room_Type 1",25,"Online",0,0,0,129,2,0,"10","17","Wednesday"
"133",2,0,2,4,"Not Selected",0,"Room_Type 1",289,"Online",0,0,0,70.55,2,1,"12","28","Friday"
"134",2,0,1,4,"Meal Plan 1",0,"Room_Type 4",28,"Offline",0,0,0,75,0,0,"10","19","Thursday"
"135",1,0,0,4,"Not Selected",0,"Room_Type 1",80,"Online",0,0,0,72.25,0,0,"03","29","Thursday"
"136",2,0,0,1,"Meal Plan 1",0,"Room_Type 4",11,"Online",0,0,0,155,2,0,"10","09","Monday"
"137",2,1,1,0,"Meal Plan 1",0,"Room_Type 1",162,"Online",0,0,0,121.5,2,1,"07","25","Wednesday"
"138",2,0,2,5,"Meal Plan 1",0,"Room_Type 1",155,"Online",0,0,0,90.95,2,0,"06","28","Thursday"
"139",1,0,2,2,"Meal Plan 1",0,"Room_Type 1",82,"Online",0,0,0,109.65,0,0,"05","22","Tuesday"
"140",3,0,2,4,"Meal Plan 1",0,"Room_Type 4",27,"Online",0,0,0,142.72,0,1,"04","15","Sunday"
"141",1,0,1,2,"Meal Plan 1",0,"Room_Type 1",13,"Offline",0,0,0,90,0,0,"05","09","Wednesday"
"142",2,0,0,2,"Meal Plan 1",0,"Room_Type 1",245,"Online",0,0,0,75,0,1,"06","17","Sunday"
"143",2,0,0,2,"Meal Plan 1",0,"Room_Type 1",11,"Online",0,0,0,111,1,1,"11","18","Sunday"
"144",2,0,2,2,"Meal Plan 1",0,"Room_Type 1",266,"Online",0,0,0,86.7,2,0,"10","30","Tuesday"
"145",2,0,1,0,"Meal Plan 1",0,"Room_Type 1",39,"Online",0,0,0,117.9,1,0,"03","28","Wednesday"
"146",1,0,0,2,"Meal Plan 1",0,"Room_Type 1",13,"Complementary",1,3,5,0,1,0,"06","01","Friday"
"147",2,0,0,4,"Not Selected",0,"Room_Type 1",112,"Online",0,0,0,101.58,1,0,"05","04","Friday"
"148",2,0,1,2,"Not Selected",0,"Room_Type 1",88,"Online",0,0,0,58.9,1,0,"04","08","Sunday"
"149",2,0,0,1,"Meal Plan 1",0,"Room_Type 1",56,"Offline",0,0,0,120,0,0,"06","08","Friday"
"150",2,0,2,3,"Meal Plan 1",0,"Room_Type 4",73,"Online",0,0,0,107.1,0,1,"04","07","Saturday"
"151",2,0,1,1,"Meal Plan 1",0,"Room_Type 1",80,"Online",0,0,0,126.9,1,0,"05","02","Wednesday"
"152",2,0,0,3,"Meal Plan 1",0,"Room_Type 4",130,"Online",0,0,0,139.5,2,1,"09","29","Saturday"
"153",2,0,1,3,"Not Selected",0,"Room_Type 1",69,"Online",0,0,0,80.75,1,0,"04","04","Wednesday"
"154",2,0,0,2,"Meal Plan 2",0,"Room_Type 1",273,"Online",0,0,0,109,0,1,"07","17","Monday"
"155",2,0,0,1,"Meal Plan 2",0,"Room_Type 1",55,"Offline",0,0,0,104,0,0,"04","06","Friday"
"156",1,0,0,3,"Meal Plan 1",0,"Room_Type 1",4,"Corporate",1,1,5,65,1,0,"11","01","Thursday"
"157",2,0,0,3,"Meal Plan 1",0,"Room_Type 4",97,"Online",0,0,0,140.4,0,0,"05","24","Thursday"
"158",2,0,0,3,"Meal Plan 1",0,"Room_Type 1",44,"Offline",0,0,0,75,0,0,"02","17","Saturday"
"159",2,0,0,1,"Not Selected",0,"Room_Type 1",31,"Online",0,0,0,94.5,0,1,"04","14","Saturday"
"160",2,0,1,0,"Not Selected",0,"Room_Type 1",0,"Online",0,0,0,109,0,0,"06","05","Tuesday"
"161",2,0,2,2,"Meal Plan 1",0,"Room_Type 1",62,"Online",0,0,0,105,2,0,"11","12","Monday"
"162",2,0,2,2,"Meal Plan 1",0,"Room_Type 4",86,"Online",0,0,0,107.95,1,0,"04","17","Tuesday"
"163",3,0,2,2,"Meal Plan 1",0,"Room_Type 7",3,"Online",0,0,0,215.6,1,0,"10","07","Sunday"
"164",2,0,1,1,"Not Selected",0,"Room_Type 1",197,"Online",0,0,0,85.5,1,0,"08","01","Wednesday"
"165",2,0,0,2,"Meal Plan 1",0,"Room_Type 1",143,"Online",0,0,0,105.3,2,0,"07","12","Thursday"
"166",1,0,2,1,"Meal Plan 2",0,"Room_Type 1",23,"Online",0,0,0,1,0,0,"01","02","Tuesday"
"167",2,0,0,2,"Meal Plan 1",0,"Room_Type 4",8,"Online",0,0,0,156,0,1,"06","15","Friday"
"168",1,0,0,2,"Meal Plan 1",0,"Room_Type 1",13,"Online",0,0,0,73.15,1,0,"11","16","Friday"
"169",2,0,1,2,"Meal Plan 1",0,"Room_Type 1",280,"Online",0,0,0,110,0,1,"09","19","Wednesday"
"170",2,1,1,0,"Not Selected",0,"Room_Type 1",11,"Online",0,0,0,87.4,1,0,"09","13","Wednesday"
"171",2,0,0,2,"Meal Plan 1",0,"Room_Type 1",317,"Online",0,0,0,120,0,1,"09","15","Saturday"
"172",2,0,1,2,"Not Selected",0,"Room_Type 1",185,"Online",0,0,0,79.2,0,1,"12","16","Sunday"
"173",2,0,1,3,"Meal Plan 1",0,"Room_Type 1",160,"Online",0,0,0,90.95,1,0,"06","30","Saturday"
"174",2,0,0,4,"Meal Plan 1",0,"Room_Type 1",104,"Online",0,0,0,91.48,1,0,"10","18","Thursday"
"175",2,1,0,1,"Meal Plan 1",0,"Room_Type 1",11,"Online",0,0,0,150,1,1,"11","05","Monday"
"176",2,0,0,1,"Not Selected",0,"Room_Type 1",2,"Online",0,0,0,89,0,0,"03","22","Thursday"
"177",2,0,1,4,"Not Selected",0,"Room_Type 1",14,"Online",0,0,0,91.43,1,0,"08","17","Friday"
"178",2,0,0,2,"Meal Plan 1",0,"Room_Type 1",22,"Offline",0,0,0,140,0,0,"05","20","Sunday"
"179",1,1,2,5,"Not Selected",0,"Room_Type 1",37,"Online",0,0,0,87.78,0,0,"10","24","Tuesday"
"180",2,0,0,2,"Meal Plan 2",0,"Room_Type 1",292,"Online",0,0,0,115,0,1,"07","21","Saturday"
"181",2,0,0,3,"Meal Plan 1",0,"Room_Type 1",11,"Online",0,0,0,80.85,1,0,"09","09","Saturday"
"182",2,0,1,3,"Meal Plan 1",0,"Room_Type 1",86,"Online",0,0,0,82.45,1,0,"03","31","Saturday"
"183",2,0,0,1,"Not Selected",0,"Room_Type 1",109,"Online",0,0,0,108,0,1,"10","11","Thursday"
"184",2,0,1,1,"Meal Plan 1",0,"Room_Type 4",72,"Online",0,0,0,96.3,1,0,"04","02","Monday"
"185",2,0,1,5,"Meal Plan 1",0,"Room_Type 1",196,"Online",0,0,0,99.45,0,1,"08","22","Wednesday"
"186",2,0,0,2,"Meal Plan 1",0,"Room_Type 4",56,"Online",0,0,0,140.4,1,0,"05","13","Sunday"
"187",2,0,1,3,"Meal Plan 1",0,"Room_Type 1",189,"Offline",0,0,0,72.25,0,0,"08","08","Wednesday"
"188",2,0,1,4,"Meal Plan 1",0,"Room_Type 4",126,"Online",0,0,0,126,0,0,"08","15","Wednesday"
"189",2,0,2,3,"Meal Plan 1",0,"Room_Type 1",303,"Online",0,0,0,78,0,1,"08","19","Sunday"
"190",1,0,2,2,"Meal Plan 1",0,"Room_Type 4",81,"Online",0,0,0,146.6,1,0,"11","06","Tuesday"
"191",2,0,1,2,"Meal Plan 1",0,"Room_Type 1",54,"Online",0,0,0,118.8,0,1,"10","10","Wednesday"
"192",1,0,0,1,"Meal Plan 1",0,"Room_Type 1",15,"Online",0,0,0,145,0,1,"10","06","Saturday"
"193",2,0,0,4,"Meal Plan 1",0,"Room_Type 1",86,"Online",0,0,0,84.58,0,1,"04","06","Friday"
"194",2,0,1,2,"Meal Plan 2",0,"Room_Type 1",161,"Online",0,0,0,130,0,1,"03","25","Sunday"
"195",2,0,4,10,"Meal Plan 1",0,"Room_Type 4",147,"Online",0,0,0,118.88,1,1,"08","03","Friday"
"196",2,0,1,2,"Meal Plan 1",0,"Room_Type 1",92,"Offline",0,0,0,101.52,0,0,"05","30","Wednesday"
"197",2,0,0,1,"Meal Plan 1",0,"Room_Type 1",87,"Corporate",0,0,0,100,0,1,"09","11","Monday"
"198",2,0,2,1,"Meal Plan 1",0,"Room_Type 1",109,"Offline",0,0,0,58,0,0,"03","20","Tuesday"
"199",2,0,0,4,"Meal Plan 1",0,"Room_Type 1",127,"Offline",0,0,0,61.5,2,0,"03","23","Friday"
"200",2,0,1,2,"Meal Plan 2",0,"Room_Type 1",418,"Online",0,0,0,107,0,1,"09","26","Wednesday"
"201",2,0,1,4,"Not Selected",0,"Room_Type 1",156,"Online",0,0,0,87.3,1,0,"08","24","Friday"
"202",2,0,0,2,"Meal Plan 1",0,"Room_Type 1",80,"Online",0,0,0,76.5,1,1,"07","16","Sunday"
"203",2,0,2,2,"Not Selected",0,"Room_Type 1",211,"Online",0,0,0,63.75,0,1,"12","16","Sunday"
"204",2,0,1,2,"Meal Plan 1",0,"Room_Type 1",273,"Online",0,0,0,95,0,1,"05","13","Sunday"
"205",2,0,2,1,"Meal Plan 1",0,"Room_Type 1",58,"Offline",0,0,0,75,1,0,"11","19","Monday"
"206",2,0,0,3,"Meal Plan 1",0,"Room_Type 1",433,"Online",0,0,0,70,0,1,"09","08","Saturday"
"207",2,0,1,3,"Meal Plan 1",0,"Room_Type 1",111,"Online",0,0,0,101.58,1,0,"05","02","Wednesday"
"208",2,0,2,3,"Meal Plan 1",0,"Room_Type 1",34,"Offline",0,0,0,85,0,0,"08","21","Tuesday"
"209",2,0,2,4,"Meal Plan 1",0,"Room_Type 1",17,"Online",0,0,0,98.39,0,0,"12","03","Monday"
"210",1,0,0,0,"Meal Plan 1",0,"Room_Type 1",4,"Complementary",0,0,0,0,1,0,"02","27","Tuesday"
"211",2,0,0,3,"Meal Plan 1",0,"Room_Type 1",6,"Online",0,0,0,106.07,1,0,"09","22","Friday"
"212",2,0,1,1,"Meal Plan 1",0,"Room_Type 1",32,"Offline",0,0,0,105,1,0,"07","18","Wednesday"
"213",2,0,0,1,"Meal Plan 1",0,"Room_Type 1",4,"Online",0,0,0,145,2,0,"09","22","Friday"
"214",3,0,2,1,"Meal Plan 1",0,"Room_Type 1",195,"Online",0,0,0,106.03,1,1,"08","13","Monday"
"215",2,0,2,2,"Meal Plan 1",0,"Room_Type 1",119,"Online",0,0,0,114.3,1,0,"08","13","Monday"
"216",1,0,1,1,"Not Selected",0,"Room_Type 1",13,"Online",0,0,0,88,0,0,"12","05","Wednesday"
"217",2,0,0,2,"Meal Plan 1",0,"Room_Type 1",59,"Online",0,0,0,89.25,2,0,"10","15","Sunday"
"218",2,1,2,5,"Meal Plan 1",0,"Room_Type 4",78,"Online",0,0,0,86.32,1,0,"03","20","Tuesday"
"219",2,0,0,3,"Meal Plan 1",0,"Room_Type 1",335,"Offline",0,0,0,90,1,0,"10","13","Saturday"
"220",2,0,2,5,"Meal Plan 1",0,"Room_Type 1",103,"Online",0,0,0,55.96,0,0,"08","22","Tuesday"
"221",1,0,0,2,"Not Selected",0,"Room_Type 1",0,"Online",0,0,0,109,1,0,"06","08","Friday"
"222",2,0,0,1,"Meal Plan 1",0,"Room_Type 1",118,"Offline",0,0,0,86,0,0,"03","01","Thursday"
